track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity
Blinding Lights,Blinding Lights,The Weeknd,11/29/19,USUG11904206,56,194,"4,281,468,720","590,392","165,544,011",83
Blinding Lights,Blinding Lights,xSyborg,3/13/21,QZLBC2302779,"4,229",20.5,"4,261,328,190",,,
Shape of You,Shape of You,Ed Sheeran,1/6/17,GBAHS1600463,54,195.1,"3,909,458,734","316,378","148,037,882",80
Shape of You,Shape of You,xSyborg,2/20/21,QZLBC2302789,"1,807",36.3,"3,888,356,417",,,
Someone You Loved,Breach,Lewis Capaldi,11/8/18,DEUM71807062,133,129.7,"3,427,498,835","338,763","160,553,919",82
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/18,USUM71814888,116,143.9,"3,358,704,125","392,082","123,917,182",79
As It Was,As It Was,Harry Styles,3/31/22,USSM12200612,20,292,"3,301,814,535","407,119","169,783,402",87
As It Was,As It Was (Official Video),Harry Styles,3/31/22,USSM22200594,"3,410",23.5,"3,299,082,422",1,1,
Starboy,Starboy,The Weeknd,9/22/16,USUG11600976,265,95.7,"3,291,262,413","366,133","98,022,646",84
One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,4/4/16,USCM51600028,518,67.9,"3,192,204,066","379,853","131,832,723",82
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/21,USSM12103949,27,266.3,"3,107,100,349","451,732","134,793,519",78
STAY (with Justin Bieber),Stay,The Kid LAROI,7/9/21,USSM12104470,"2,385",29.2,"3,107,100,349","11,726","2,225,897",53
Dance Monkey,Dance Monkey,Tones And I,5/10/19,QZES71982312,40,214.5,"3,071,214,106","375,201","64,901,153",71
Believer,Believer,Imagine Dragons,1/31/17,USUM71700626,119,142.2,"3,006,226,762","335,880","89,243,475",81
Heat Waves,Heat Waves,Glass Animals,6/29/20,GBUM72000433,71,175,"2,996,181,078","486,278","112,416,489",82
Perfect,ýý (Deluxe),Ed Sheeran,3/3/17,GBAHS1700024,81,167.5,"2,969,999,682","280,165","116,921,604",81
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/17,USUM71710087,231,101.8,"2,960,046,642","352,745","82,442,565",77
Sweater Weather,I'm Sorry...,The Neighbourhood,1/1/12,USSM11300080,809,53.9,"2,916,412,507","415,650","149,359,220",85
Closer,Closer,The Chainsmokers,7/29/16,USQX91601347,173,114.6,"2,880,536,961","285,381","129,399,627",80
Say You Won't Let Go,Say You Won't Let Go,James Arthur,9/9/16,DEE861600586,462,71.5,"2,830,962,669","233,504","128,647,419",82
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/18,USUM71911283,165,117.6,"2,738,293,818","251,033","108,433,327",74
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/19,USSM11912587,243,99.7,"2,708,151,499","298,135","159,003,869",82
Don't Start Now,Don't Start Now,Dua Lipa,10/31/19,GBAHT1901121,149,124.6,"2,607,121,959","270,230","143,953,432",78
Something Just Like This,Something Just Like This,The Chainsmokers,2/22/17,USQX91700278,273,94,"2,596,644,721","278,237","128,709,855",82
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/18,USUG11800685,150,123.9,"2,548,389,305","339,306","75,858,140",78
Take Me to Church,Take Me To Church,Hozier,9/16/13,IEACJ1300031,"1,293",41.4,"2,544,489,950","238,611","69,693,570",78
Take Me to Church,Take Me to Church EP,Hozier,9/13/13,USSM11307291,"2,276",30,"2,544,489,950","113,315","30,950,638",74
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/13,AULI01385760,"1,223",42.8,"2,541,833,602","369,150","165,607,442",80
God's Plan,Diplomatic Immunity,Drake,1/20/18,USCM51800004,278,92.9,"2,529,948,475","313,741","79,266,167",77
Photograph,x (Wembley Edition),Ed Sheeran,1/1/13,GBAHS1400094,980,48.8,"2,525,355,904","208,671","121,163,411",77
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/19,USUM71900764,164,117.7,"2,516,804,300","296,739","113,315,017",76
Thinking out Loud,Full Circle: The Live Anthology,Ed Sheeran,11/20/11,GBAHS1400099,"3,253",24.1,"2,502,925,593","212,574","119,020,197",76
Bohemian Rhapsody,Absolute Greatest,Queen,11/16/09,GBCEE0900148,"4,147",20.8,"2,486,908,570",264,"18,456",
Circles,Circles,Post Malone,8/30/19,USUM71915699,170,116,"2,481,391,466","332,437","124,491,320",80
Counting Stars,Native (Standard),OneRepublic,1/1/13,USUM71301306,892,51.1,"2,466,006,842","343,135","114,346,295",81
Shallow,Shallow,Lady Gaga,9/27/18,USUM71813192,204,106.9,"2,447,973,078","221,822","90,174,192",78
Another Love,Songs from Another Love,Tom Odell,1/1/12,GBARL1300107,"1,842",33.9,"2,444,335,468","380,675","168,483,196",83
Love Yourself,Love Yourself,Justin Bieber,11/9/15,USUM71516761,530,66.8,"2,423,583,406","221,550","85,152,861",78
Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,10/9/12,GMM881200021,"1,430",38.9,"2,397,109,372","287,524","83,050,639",74
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,9/16/16,USSM11607555,549,65.5,"2,396,737,761","381,756","90,317,118",82
Thunder,Thunder,Imagine Dragons,4/27/17,USUM71704167,203,106.9,"2,384,768,901","244,951","88,329,475",79
All of Me,Love In The Future (South Africa Tour Edition),John Legend,1/1/12,USSM11303954,487,69.8,"2,382,407,025","259,202","144,805,002",80
All of Me - Radio Edit,"ýý3 Greatest Hits, Vol. 66",John Legend,6/27/14,USSM11400599,"3,411",23.5,"2,379,787,239",362,"74,085",20
Wake Me Up,TRUE,Avicii,1/1/13,SEUM71301326,436,73.7,"2,325,017,580","347,004","112,575,684",81
Stressed Out,Stressed Out,Twenty One Pilots,4/28/15,USAT21500597,482,70.1,"2,313,532,702","333,612","85,684,817",79
The Hills,The Hills,The Weeknd,5/27/15,USUG11500737,388,77.5,"2,306,740,926","333,310","91,689,799",80
Wake Me Up (Remix),Dance Essentials 2,Nick White,4/1/22,USY252283746,"2,192",32.4,"2,300,429,829",,,
Demons,Continued Silence - EP,Imagine Dragons,1/1/12,USUM71201071,847,52.8,"2,270,796,677","263,640","71,470,111",80
Die For You,Starboy,The Weeknd,11/25/16,USUG11601011,"1,565",37,"2,265,551,950","185,803","50,288,436",74
7 rings,7 rings,Ariana Grande,1/18/19,USUM71900110,274,93.9,"2,262,490,403","179,865","89,518,199",77
Let Her Go,Let Her Go,Passenger,7/27/12,GBMQN1200012,484,70.1,"2,252,713,547","84,884","25,149,126",69
Let Her Go,All The Little Lights,Passenger,1/1/12,GBMQN1100004,"3,534",22.9,"2,252,713,547","205,647","46,729,104",73
No Role Modelz,2014 Forest Hills Drive,J. Cole,12/9/14,USQX91402598,955,49.3,"2,235,160,830","403,355","73,668,045",81
HUMBLE.,HUMBLE.,Kendrick Lamar,3/31/17,USUM71703085,466,71.4,"2,226,869,580","311,766","77,191,099",80
SAD!,SAD!,XXXTENTACION,3/2/18,USUG11800208,289,90.5,"2,218,531,106","263,801","60,437,070",75
"Lose Yourself - From '8 Mile'"" Soundtrack""",8 Mile,Eminem,10/29/02,USIR10211559,"2,222",30.4,"2,194,935,773","345,119","97,808,878",75
Do I Wanna Know?,AM,Arctic Monkeys,1/1/13,GBCEL1300362,"1,837",33.9,"2,188,592,950","361,827","91,030,520",81
Do I Wanna Know?,Do I Wanna Know?,Arctic Monkeys,1/1/13,GBCEL1300332,"3,432",23.3,"2,188,592,950","11,669","2,167,817",46
Cruel Summer,Lover,Taylor Swift,8/23/19,USUG11901472,451,72.8,"2,188,247,133","121,479","201,964,859",88
I Wanna Be Yours,AM,Arctic Monkeys,1/1/13,GBCEL1300373,"3,597",22.6,"2,185,240,293","277,753","129,062,801",86
drivers license,drivers license,Olivia Rodrigo,1/8/21,USUG12004749,226,102.9,"2,184,754,018","250,778","70,173,770",79
drivers license,drivers license,Olivia Rodrigo,1/8/21,USUG12004750,"2,341",29.5,"2,184,754,018","9,903","2,638,527",57
One Kiss (with Dua Lipa),Dua Lipa (Complete Edition),Calvin Harris,1/1/15,GBARL1800368,"1,024",47.5,"2,178,606,166","291,456","162,511,602",79
Mr. Brightside,Hot Fuss,The Killers,1/1/04,USIR20400274,"3,346",23.7,"2,174,022,106","326,294","118,562,432",81
good 4 u,good 4 u,Olivia Rodrigo,5/14/21,USUG12101245,163,117.8,"2,167,768,056","309,421","72,787,213",79
good 4 u,good 4 u,Olivia Rodrigo,5/14/21,USUG12101253,"1,009",47.8,"2,167,768,056","12,805","3,065,794",54
Treat You Better,Treat You Better,Shawn Mendes,6/3/16,USUM71604711,481,70.2,"2,164,074,552","183,260","79,238,401",80
Let Me Love You,Encore,DJ Snake,8/5/16,QMZSY1600015,403,76.2,"2,147,028,486","205,482","89,333,146",80
Without Me,Suicide Squad: The Album (Collector's Edition),Eminem,8/4/16,USAT21602011,"1,696",35.5,"2,146,682,342","7,361","1,065,772",
Without Me,The Source - Hip Hop Hits Vol. 6,Eminem,1/1/02,USIR10211038,"3,210",24.3,"2,146,682,342","397,228","83,160,830",83
Happier,Happier - Single,Marshmello,8/16/18,USUG11801651,299,87.9,"2,143,821,605","220,298","53,040,597",16
SICKO MODE,ASTROWORLD,Travis Scott,8/3/18,USSM11806660,626,60.9,"2,134,271,997","330,314","97,027,433",77
XO Tour Llif3,XO TOUR Llif3,Lil Uzi Vert,3/24/17,USAT21700684,562,64.2,"2,123,458,039","59,071","11,326,598",24
XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,8/25/17,USAT21703440,"1,855",33.7,"2,123,458,039","250,221","69,341,164",77
When I Was Your Man,Unorthodox Jukebox,Bruno Mars,12/7/12,USAT21206701,"4,187",20.7,"2,106,040,891","231,184","111,114,931",81
Viva La Vida,Meu Pai ï¿½ï¿½ do ,Coldplay,9/21/05,GBAYE0800265,"2,619",27.5,"2,102,223,775","335,772","128,128,093",80
Just the Way You Are,Just The Way You Are,Bruno Mars,7/20/10,USAT21001269,"1,477",38.1,"2,099,862,852","233,719","148,404,419",79
New Rules,Dua Lipa (Complete Edition),Dua Lipa,1/1/15,GBAHT1600310,"1,561",37.1,"2,098,443,322","158,842","106,310,954",75
The Night We Met,The Night We Met,Lord Huron,2/9/15,US53Q1200103,"1,226",42.7,"2,097,181,065","286,668","123,211,490",84
Sorry,Sorry,Justin Bieber,10/23/15,USUM71516760,264,95.7,"2,089,476,497","179,545","89,286,647",78
Stay With Me,Full Circle: The Live Anthology,Sam Smith,11/20/11,GBUM71308833,"2,152",31,"2,086,460,781","167,759","96,423,336",77
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Full Circle: The Live Anthology,Major Lazer,11/20/11,QMUY41500008,846,52.8,"2,080,878,370","242,511","79,506,771",76
That's What I Like,24K Magic,Bruno Mars,11/17/16,USAT21602948,378,79.3,"2,075,459,887","209,632","84,707,015",80
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/20,GBAHT2000942,184,111.3,"2,074,721,986","255,296","109,442,317",77
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/17,USSM11706905,177,112.8,"2,072,182,782","194,332","86,159,672",75
Unforgettable,EPIC AF,French Montana,1/1/17,USSM11703478,454,72.6,"2,065,697,126","275,044","91,691,537",82
Too Good At Goodbyes,Too Good At Goodbyes,Sam Smith,9/8/17,GBUM71704089,584,62.9,"2,061,017,397","157,801","71,564,108",78
In the End,Papercuts,Linkin Park,4/12/24,USWB11201322,72,174.8,"2,045,512,421",97,"488,602",
In the End,Hybrid Theory (Bonus Track Version),Linkin Park,10/24/00,USWB10002407,"1,803",34.3,"2,045,512,421","324,745","99,290,558",82
There's Nothing Holdin' Me Back,Illuminate,Shawn Mendes,9/23/16,USUM71702833,589,62.6,"2,043,626,431","185,796","81,455,782",80
Without Me,Without Me,Halsey,10/4/18,USUM71813499,200,107.4,"2,042,792,456","198,888","69,311,277",75
Flowers,Flowers - Single,Miley Cyrus,1/12/23,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85
Flowers,Flowers (Official Video),Miley Cyrus,1/12/23,USSM22202811,"3,752",22.1,"2,031,280,633",1,92,
Smells Like Teen Spirit,Nevermind (30th Anniversary Edition Super Deluxe),Nirvana,9/24/91,USGF19942501,"4,510",19.6,"2,021,910,364","410,054","113,406,994",77
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/21,USSM12104539,110,145.3,"2,014,959,725","354,831","87,942,438",70
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY - Single,Lil Nas X,7/23/21,USSM12104540,"3,182",24.4,"2,014,959,725","7,808","1,446,867",48
Cold Heart - PNAU Remix,Diamonds (Deluxe),Elton John,11/10/17,GBUM72104705,565,64,"2,011,121,774","314,601","173,805,568",77
Memories,Memories,Maroon 5,9/20/19,USUM71913350,194,109.3,"2,011,072,164","222,804","49,920,599",77
Flowers,NOW That's What I Call Music! 115,Miley Cyrus,7/28/23,USSM12300148,"1,625",36.4,"2,010,422,639",7,185,
Locked Out Of Heaven,NRJ 200% Hits 2013,Bruno Mars,1/1/12,USAT21203287,"1,602",36.6,"2,004,657,631","277,766","134,689,771",83
Save Your Tears,After Hours,The Weeknd,3/20/20,USUG12000658,371,79.9,"1,995,511,952","304,456","63,126,296",80
Save Your Tears,After Hours (Deluxe),The Weeknd,3/20/20,USUG12000669,"1,827",34,"1,995,511,952","8,264","1,155,540",49
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,11/20/11,GBARL1401524,254,97.1,"1,993,030,264","256,764","149,909,699",77
Congratulations,Congratulations,Post Malone,11/4/16,USUM71614484,322,85.3,"1,984,802,459","246,374","81,736,432",75
Dakiti,Dakiti,Bad Bunny,1/1/20,QMFME2004132,262,96.1,"1,977,947,460","245,685","56,430,031",72
'Till I Collapse,The Eminem Show,Eminem,5/26/02,USIR10211066,"2,651",27.4,"1,958,809,069","282,888","74,055,843",79
Better Now,beerbongs & bentleys,Post Malone,4/27/18,USUM71805170,962,49.2,"1,953,403,531","239,092","47,844,195",74
Better Now,beerbongs & bentleys,Post Malone,4/27/18,USUM71805184,"3,647",22.5,"1,953,403,531","5,013","1,630,513",46
I Took A Pill In Ibiza - Seeb Remix,I Took A Pill In Ibiza (Seeb Remix),Mike Posner,7/24/15,USUM71509342,"1,757",34.8,"1,949,596,473","230,708","75,554,079",76
Faded,Faded,Alan Walker,12/4/15,NOG841549010,653,59.4,"1,943,842,010","221,874","62,851,374",75
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,5/4/19,RUB421901499,417,75.2,"1,927,961,994","323,997","86,092,004",72
Someone Like You,21' Sampler,Adele,1/18/11,GBBKS1000351,"1,345",40.5,"1,925,879,064","211,527","80,288,449",75
Before You Go,Divinely Uninspired To a Hellish Extent (Extended Edition),Lewis Capaldi,5/17/19,DEUM71905868,611,61.3,"1,920,784,716","211,573","106,250,249",77
7 Years,Lukas Graham (Blue Album),Lukas Graham,6/16/15,USWB11506516,475,70.5,"1,916,203,330","218,955","70,223,741",78
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/19,USAT21906978,109,146.6,"1,911,559,785","317,345","87,765,033",78
Stitches,Stitches,Shawn Mendes,2/10/15,USUM71500658,700,57.8,"1,907,768,690","170,905","58,551,250",69
The Scientist,The Scientist,Coldplay,8/5/02,GBAYE0200772,"4,294",20.3,"1,903,413,912","239,330","115,908,926",79
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/26/21,USSM12100531,238,100.8,"1,902,241,314","316,054","50,751,390",70
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/24/21,USSM12100532,"2,067",31.7,"1,902,241,314","7,736","1,546,777",44
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,1/1/15,USAT21703595,251,97.6,"1,891,920,348","159,571","73,641,738",78
See You Again (feat. Charlie Puth),Furious 7: Original Motion Picture Soundtrack,Wiz Khalifa,3/10/15,USAT21500313,"1,528",37.6,"1,891,920,348","75,665","19,726,243",55
Don't Let Me Down,Pop Party,The Chainsmokers,1/1/16,USQX91600011,432,74.1,"1,888,829,482","206,507","80,884,955",76
Moonlight,?,XXXTENTACION,3/16/18,USUG11800209,375,79.5,"1,885,431,727","241,112","41,330,643",77
I'm Not The Only One,In The Lonely Hour (Deluxe),Sam Smith,1/1/14,GBUM71308836,"2,428",28.9,"1,879,966,374","164,059","76,679,523",77
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,7/21/87,USGF18714809,"3,931",21.5,"1,879,386,440","295,491","96,032,046",80
"thank u, next","thank u, next",Ariana Grande,11/3/18,USUM71819361,515,68,"1,878,196,824","134,913","54,753,824",73
I'm Yours,DDB Hitzone Best Of 2008,Jason Mraz,1/1/08,USEE10800667,"2,136",31.1,"1,878,098,512","241,725","103,480,270",72
Kill Bill,SOS,SZA,12/8/22,USRC12204584,68,177.7,"1,873,746,537","190,202","99,546,318",82
Kill Bill,Kill Bill (Official Video),SZA,1/10/23,USRV82300033,"4,291",20.3,"1,873,746,537",1,1,
Dynamite,Dynamite,BTS,8/21/20,QM7282022872,131,132.3,"1,872,577,908","144,619","51,186,002",74
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/20,USQX92003025,130,133,"1,867,736,006","302,486","82,611,625",76
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,11/5/15,USAT21502909,474,70.6,"1,859,886,400","161,156","90,365,431",78
when the party's over,when the party's over,Billie Eilish,10/17/18,USUM71815958,787,54.7,"1,845,938,685","186,633","79,124,996",79
Kill Bill,Kill Bill - Single,pasa michaelson,8/26/23,GB8KE2318565,"1,156",45.2,"1,842,758,768",1,1,
Sugar,V (Deluxe),Maroon 5,8/29/14,USUM71410340,399,76.6,"1,838,092,894","186,038","69,903,249",75
Radioactive,Hear Me EP,Imagine Dragons,1/1/12,USUM71201074,654,59.3,"1,836,362,703","236,427","68,978,853",75
Blank Space,1989 (Deluxe),Taylor Swift,1/1/14,USCJY1431309,463,71.5,"1,829,733,410","157,465","49,558,504",76
Payphone,Overexposed Track By Track,Maroon 5,1/1/12,USUM71203347,"1,153",44.2,"1,828,026,153","249,663","71,678,167",78
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/9/21,USRC12100543,222,103.4,"1,823,871,908","262,313","116,916,147",76
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/8/21,USRC12100760,"2,083",31.6,"1,823,871,908","8,460","1,666,482",46
I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,5/10/19,GBAHS1900672,735,56.5,"1,816,356,140","156,748","74,047,669",70
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214877,64,184.8,"1,811,990,630","173,358","67,603,671",79
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1/1/94,USSM19400325,"2,097",31.5,"1,810,649,765","109,411","45,003,974",60
Attention,Attention,Charlie Puth,4/20/17,USAT21700928,768,55.3,"1,800,254,516","162,682","40,159,047",75
The Real Slim Shady,The Source Hip-Hop Hits Vol. 4,Eminem,1/1/00,USIR10000448,"2,796",26.5,"1,798,020,679","352,947","75,283,550",81
Me Porto Bonito,Me Porto Bonito,Renzo Pianciola,9/9/22,QZTPX2259995,"4,420",20.2,"1,797,039,538",2,78,7
Pumped Up Kicks,Pumped up Kicks,Foster The People,1/1/10,USSM11002931,"1,113",45.1,"1,791,778,314","344,490","131,726,745",81
Youngblood,Youngblood,5 Seconds of Summer,4/12/18,GBUM71800366,811,53.9,"1,790,579,305","180,069","75,602,805",76
I Like Me Better,I Like Me Better,Lauv,5/19/17,GBWWP1702907,"1,152",44.2,"1,784,308,411","157,818","34,910,721",75
Call Out My Name,"My Dear Melancholy,",The Weeknd,3/29/18,USUG11800560,603,61.6,"1,780,889,877","229,909","75,001,452",79
The Nights,Full Circle: The Live Anthology,Avicii,11/20/11,CH3131340464,"1,680",35.6,"1,780,761,618","306,987","80,839,124",79
Me Rehï¿½ï,Me Rehï¿½ï,Danny Ocean,9/16/16,USWL11700128,"3,274",24,"1,779,760,815","90,161","37,656,145",69
Cheap Thrills,Cheap Thrills,Sia,12/17/15,USRC11502935,580,63.2,"1,779,046,979","161,840","45,579,916",70
Me Rehï¿½ï,Los Nï¿½ï¿½meros 1 De Los 40 (Music Inspires L,Danny Ocean,11/3/17,USWL11900076,"1,126",44.8,"1,778,934,858","37,040","21,117,726",74
Heathens,Heathens,Twenty One Pilots,6/16/16,USAT21601930,296,88.6,"1,777,196,966","241,108","65,091,468",78
Bad Habits,#NAME?,Ed Sheeran,1/1/20,GBAHS2100318,159,120.8,"1,754,311,538","271,758","62,218,811",74
Somebody That I Used To Know,Making Mirrors (Deluxe),Gotye,1/1/11,AUZS21100040,471,71,"1,752,826,514","352,833","87,651,528",74
Be Alright,Be Alright,Dean Lewis,6/29/18,AUUM71800255,"1,042",47,"1,749,353,402","182,732","81,424,354",72
I Feel It Coming,I Feel It Coming,The Weeknd,11/17/16,USUG11601012,817,53.6,"1,749,088,490","193,568","52,373,071",72
Can't Feel My Face,Your Songs 2015,The Weeknd,3/2/15,USUG11500741,851,52.6,"1,747,534,539","212,829","101,243,254",76
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/17,USUM71607007,50,203.5,"1,747,093,405","178,114","49,464,650",74
This Is What You Came For,This Is What You Came For,Calvin Harris,4/29/16,GBARL1600460,373,79.8,"1,746,790,923","204,049","117,171,040",79
Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,7/12/18,USUM71809132,571,63.7,"1,736,530,084","174,867","50,426,363",73
"CAN''T STOP THE FEELING! (Original Song From Dreamworks Animation''s 'Trolls'"")""","CAN''T STOP THE FEELING! (Original Song From Dreamworks Animation''s 'Trolls'"")""",Justin Timberlake,5/6/16,USRC11600876,305,87.1,"1,733,302,434","191,065","88,781,556",72
Chandelier,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Sia,1/1/14,USRC11400498,569,63.8,"1,729,264,620","171,065","77,207,881",75
Ride,Ride,Twenty One Pilots,5/12/15,USAT21500598,"1,110",45.2,"1,724,766,252","240,346","62,583,866",79
La Bachata,La Bachata,Manuel Turizo,5/26/22,QZDYA1800087,146,126.2,"1,721,045,197","156,941","97,122,096",81
Easy On Me,Easy On Me,Adele,10/14/21,USSM12105970,88,163.2,"1,720,918,065","209,635","93,875,458",73
Numb,Meteora,Linkin Park,3/24/03,USWB10300474,"2,472",28.7,"1,720,830,668","270,810","75,602,131",80
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,4/17/17,USUM71703825,284,91.5,"1,713,294,983","134,700","39,604,784",65
Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,5/25/18,USAT21802284,769,55.3,"1,709,991,997","187,053","79,925,766",80
LA CANCIï¿½,OASIS,J Balvin,6/28/19,USUM71911618,570,63.8,"1,706,325,903","149,957","78,600,154",79
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/22,UYB282201028,92,161.7,"1,692,951,462","209,490","88,591,675",78
Shut Up and Dance,Full Circle: The Live Anthology,WALK THE MOON,11/20/11,USRC11401949,"1,530",37.6,"1,690,450,389","225,204","121,786,733",81
Why'd You Only Call Me When You're High?,Why''d You Only Call Me When You''re High?,Arctic Monkeys,1/1/13,GBCEL1300370,"3,008",25.4,"1,687,828,519","272,010","71,727,595",80
Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,9/7/17,USRC11702155,"2,710",27,"1,687,683,940","177,653","44,326,008",75
Mockingbird,Encore (Deluxe),Eminem,11/12/04,USIR10400813,"3,983",21.4,"1,680,919,413","293,385","44,640,604",82
Wow.,Wow.,Post Malone,12/24/18,USUM71822626,657,59.3,"1,680,612,367","201,840","56,914,511",74
Maps,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Maroon 5,1/1/14,USUM71407116,"2,052",31.8,"1,676,528,402","191,597","65,483,960",79
Gangsta's Paradise,Gangsta's Paradise (25th Anniversary - Remastered),Coolio,9/25/20,USTB12000152,"1,945",32.7,"1,675,750,095",506,"66,189",25
Heather,Kid Krow,Conan Gray,3/20/20,USUM71924264,"1,276",41.8,"1,675,083,208","191,604","123,682,546",80
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/23,USA2P2330093,156,122.4,"1,673,557,134","54,950","91,343,768",80
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,7/14/23,USA2P2330092,389,77.4,"1,673,557,134","15,863","14,237,841",72
Adore You,Adore You,Harry Styles,12/6/19,USSM11912588,442,73.2,"1,670,164,200","171,120","93,127,826",78
Sweet but Psycho,Sweet but Psycho,Ava Max,8/17/18,USAT21802011,365,80.1,"1,668,741,024","174,052","42,966,784",76
Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,2/10/15,USUG11500923,"1,195",43.4,"1,667,089,416","97,707","24,754,802",69
Gangsta's Paradise (feat. L.V.),...And You Don't Stop - A Celebration of 50 Years of Hip Hop,Coolio,8/11/23,USTB12300126,"2,128",31.2,"1,666,699,743",7,"2,021",13
Gangsta's Paradise (feat. L.V.),Get Ur Freak On - R&B Anthems,Coolio,11/16/12,USRH11200639,"4,254",20.5,"1,666,699,743",183,"49,151",
Cheerleader - Felix Jaehn Remix Radio Edit,Cheerleader (Felix Jaehn Remix) (Radio Edit),OMI,5/20/14,USUS11202574,"1,318",41,"1,663,491,433","49,556","9,366,950",52
I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,ZAYN,12/9/16,USQ4E1602586,"1,312",41.1,"1,662,288,901","129,306","54,219,735",75
505,Favourite Worst Nightmare,Arctic Monkeys,4/21/07,GBCEL0700074,"3,999",21.3,"1,660,504,577","315,657","60,158,552",80
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/22,UKWLG2200055,43,209.6,"1,658,229,422","262,248","239,957,538",83
Seven Nation Army,Elephant,The White Stripes,1/1/03,USVT10300001,"4,030",21.2,"1,657,866,786","206,953","64,036,444",81
Danza Kuduro,Vem Dancar Kuduro,Don Omar,1/1/10,USUM71020778,"1,605",36.6,"1,656,974,409","266,408","90,687,992",76
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2/9/19,USSM12000925,268,94.8,"1,656,385,770","283,938","62,191,957",74
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/24,TCJPA2445163,23,279,"1,655,575,417",10,655,
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/24,TCJPA2415647,48,204.4,"1,655,575,417",9,85,
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/24,TCJPA2420090,59,190,"1,655,575,417",1,3,
Danza Kuduro (feat. Lucenzo),100% tubes de l'ï¿½ï¿½tï¿½ï¿½ 2018 : La bande son 100,Don Omar,6/15/18,FR6F31821340,"1,809",34.2,"1,655,575,417","1,108","64,350",40
We Found Love,Talk That Talk (Explicit),Rihanna,1/1/11,USUM71115507,"1,965",32.5,"1,655,539,775","219,739","111,528,796",79
