track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity
Energy,Energy,Digga D,3/9/23,GB2DY2300114,"4,113",21,"43,078,993","31,275","2,195,709",52
"I spoke to the devil in miami, he said everything would be fine",LOOK AT ME: THE ALBUM,XXXTENTACION,6/10/22,USQX92202218,"1,979",32.4,"42,993,944","14,476","4,616,378",58
Uhaw,Uhaw,Dilaw,11/18/22,PHW012200294,"3,958",21.5,"42,862,565","5,084","1,645,697",54
Dayanamï¿½ï¿½y,Dayanamï¿½ï¿½yorum - Si,Kerim Araz,3/6/23,FR96X2303731,"4,534",19.5,"42,735,162","6,811","879,077",56
Burn It Down,Never Enough,Parker McCollum,5/12/23,USUM72223494,"2,737",26.9,"42,332,727","7,018","6,690,589",65
Dreaming,Dreaming,Marshmello,10/20/23,USRC12302211,"1,716",35.3,"42,151,775","8,420","9,908,087",
"Tested, Approved & Trusted",I Told Them...,Burna Boy,8/23/23,USAT22307524,"3,658",22.4,"42,115,225","15,081","3,685,016",61
Feelings,Feelings,Sumit Goswami,7/7/20,INS172001990,"3,773",22,"42,067,554","4,380","426,039",54
TQMQA,TQMQA - Single,Eladio Carrion,12/14/23,QMFMG2300652,"2,335",29.5,"42,043,071","9,916","8,275,134",
LA DURANGO,LA DURANGO,Peso Pluma,5/9/24,QM6N22400640,"1,447",38.6,"42,032,763","2,684","48,467,220",79
BAD BOY,BAD BOY,Chris Jedi,2/7/24,QZZU32400012,"2,474",28.7,"42,027,577","7,316","25,238,956",
Wine Into Whiskey,Wine Into Whiskey,Tucker Wetmore,2/23/24,QM24S2400488,"3,107",24.8,"41,953,270","5,213","4,114,449",27
Miles On It,Miles on It,Marshmello,5/3/24,QZZVQ2400059,992,48.2,"41,924,126","3,794","124,369,916",79
UNTOUCHABLE,BORN TO BE,ITZY,1/8/24,US5TA2300214,"4,422",19.9,"41,904,754","3,228","13,953,458",11
Easy,The Plan,DaniLeigh,11/30/18,USUM71816809,"4,403",19.9,"41,808,541","7,802","1,222,888",46
L'ULTIMA POESIA,L'ULTIMA POESIA - Single,Geolier,3/22/24,ITQ002400247,"2,044",31.9,"41,788,648","2,056","4,977,329",72
GATITAS SANDUNGUERAS VOL.1,GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,5/16/24,USUM72401566,"1,946",32.7,"41,517,704","2,895","85,480,305",79
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý (Fade),ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý (Fade) - Single,Jeff Satur,9/23/22,THW092201719,"3,811",21.9,"41,494,349","6,516","1,169,599",52
Bandana,Bandana - Single,Shubh,3/29/24,INW262400703,"3,576",22.7,"41,479,958","1,644","5,818,260",72
Summer Too Hot,Summer Too Hot,Chris Brown,6/23/23,USRC12301497,"3,047",25.1,"41,255,598","13,071","2,941,901",51
Risk,Risk,Gracie Abrams,5/1/24,USUG12401764,"2,617",27.6,"41,114,784","2,686","35,162,711",78
ýýýýýýýýýýýý,ýýýýýýýýýýýý,Lamis Kan,7/27/21,EGA252103733,"4,525",19.6,"41,071,094","14,309","1,842,678",59
Lehanga,Lehanga,Jass Manak,7/25/19,FR59R1989925,"1,305",41.2,"41,063,045",297,"35,247",
Love,AFROBOY,Kouz1,1/13/23,DGA082226042,"3,269",24,"41,059,494","17,144","2,565,553",40
DASH,Fe3O4: BREAK,NMIXX,1/15/24,US5TA2300179,"3,530",22.9,"40,620,097","2,870","8,114,713",11
Aria,Aria - Single,Argy,9/22/23,DEEC31810498,"3,043",25.1,"40,556,347","22,280","15,460,877",
